"variable","mean","sd","mcse_mean","ess_bulk"
"alpha",-2.0587120926,0.129400943088908,0.00403922483431309,1022.19101222977
"mu_beta",-0.80343112217,0.0715991399243169,0.00226459876226154,998.992426128219
"sigma_beta",0.145205245973,0.0257708094171118,0.000769219976346296,1128.84829608388
