"variable","mean","sd","rhat","mcse_mean","ess_bulk"
"alpha",-2.24860025364,0.0699853768223077,1.00580970819293,0.0031788790666843,485.69924862694
"mu_beta",-0.696428323156,0.0392773903790771,1.00430746558545,0.0017588298020509,498.99987571801
"sigma_beta",0.0911923677464,0.024080558268453,1.00469239378498,0.000950557828599452,604.785572146795
